STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
240,20210101,  211,   20,   23,   30,    2,   10,    8,   50,   12,   21,  -22,    3,   64,   14,  -41,    6,   18,   23,  217,    7,    5,    5,   10,10080,10109,   24,10057,    1,    1,    3,   70,   12,    6,   94,   98,    1,   86,   12,    2
240,20210102,  151,   14,   19,   30,    1,   10,    4,   50,   24,   26,    2,    7,   45,   13,  -13,   12,   34,   44,  253,    6,    8,    6,    1,10132,10152,   23,10113,    1,    1,   10,   60,    2,    7,   98,   99,   10,   95,   24,    3
240,20210103,   51,   47,   48,   70,   17,   20,    1,  120,   17,   37,   28,    4,   45,   12,   23,    6,    3,    4,  141,    0,   -1,   -1,    1,10171,10183,   19,10154,    1,   44,    8,   75,   16,    8,   84,   94,    2,   73,   17,    2
240,20210104,   48,   75,   75,   90,   11,   60,   24,  150,   11,   32,   25,   16,   39,    1,   23,   18,    0,    0,   91,   34,   11,    3,    3,10184,10195,   10,10174,    3,   61,    3,   75,   12,    8,   83,   89,    3,   79,   20,    1
240,20210105,   55,   62,   63,   70,    1,   50,   12,  110,    1,   32,   23,    3,   36,   17,   21,    6,    0,    0,   80,    0,   -1,   -1,    1,10184,10190,   21,10176,    5,   60,   20,   70,    1,    8,   87,   91,   20,   84,    1,    1
240,20210106,   20,   25,   36,   60,    1,   20,   14,  110,    5,   24,   13,   19,   35,   14,    4,   24,    0,    0,  130,   19,    3,    2,   22,10169,10186,    1,10145,   24,   62,   22,   75,   14,    8,   85,   94,   23,   77,   14,    2
240,20210107,  312,   35,   38,   70,   15,   20,    5,  110,   15,   31,   13,    1,   48,   12,   10,    6,    0,    0,  135,  161,   64,   18,   20,10124,10141,    1,10115,   14,   50,   20,   75,   12,    8,   89,   95,    6,   78,   12,    2
240,20210108,  343,   10,   15,   30,    2,   10,    5,   40,    2,   16,  -32,   24,   50,   14,  -58,   24,   40,   50,  303,   18,    3,    2,    2,10165,10213,   24,10119,    1,    2,   23,   75,   14,    5,   92,   99,   24,   77,   14,    3
240,20210109,  302,   13,   17,   40,   14,   10,    1,   80,   21,    1,  -44,    3,   63,   13,  -70,   12,   50,   63,  368,    0,   -1,   -1,    1,10239,10251,   21,10215,    1,    1,    1,   75,   12,    3,   90,   98,    1,   78,   12,    4
240,20210110,  223,   36,   37,   50,   13,   10,    1,   80,   13,   28,  -24,    1,   52,   12,  -51,    6,   17,   21,  199,    0,   -1,   -1,    1,10230,10247,    2,10204,   24,   58,   24,   75,   11,    8,   88,   92,    1,   78,   11,    2
